;Num_Acc;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
0;202000000002;7;3;2020;08:35;2;91;91657;2;9;7;6;MOUSSEAUX(CHEMIN);48,6900000;2,4100000
1;202000000003;7;3;2020;13:30;1;91;91174;2;2;1;3;CARNOT(AVENUE);48,6106700;2,4758200
2;202000000004;7;3;2020;18:50;5;91;91215;2;1;1;6;VICTOR HUGO (AVENUE);48,6978200;2,5244600
3;202000000005;7;3;2020;11:00;1;77;77181;1;6;1;2;LAGNY  (RUE DE  ) - D35;48,8286457;2,7059707
4;202000000006;5;3;2020;07:00;2;76;76114;1;2;2;3;D6015;49,5763988;0,5101875
5;202000000008;7;3;2020;10:20;1;64;64024;2;3;8;3;Boulevard du Bayonne Anglet Biarritz;43,4938100; -1,5230700
6;202000000009;6;3;2020;08:15;1;62;62757;2;2;1;6;CALAIS (RUE DE ....19A 71 ET 28 A 110);50,7570746;2,2325420
7;202000000010;4;3;2020;04:05;3;62;62540;1;1;1;1;CD941;50,4582925;2,5756715
8;202000000011;5;3;2020;11:50;1;59;59143;2;3;1;-1;BEAUCHAMP  (RUE LEON );50,6785000;2,8742000
9;202000000012;7;3;2020;05:00;4;56;56260;2;1;1;6;LECLERC(RUE DU MARECHAL);47,6581100; -2,7513900
10;202000000013;7;3;2020;06:15;5;54;54578;1;1;1;6;MULLER (AVENUE PAUL);48,6700750;6,1583190
11;202000000014;7;3;2020;13:20;1;51;51454;2;7;1;2;Avenue de l’Europe;49,2556464;4,0611947
12;202000000015;3;3;2020;20:20;5;48;48095;2;1;9;6;GEORGES CLEMENCEAU (AVENUE);44,5225800;3,5027900
13;202000000016;7;3;2020;17:00;1;35;35238;2;1;1;4;VERN (DE);48,0980371; -1,6554889
14;202000000017;7;3;2020;13:45;1;35;35238;2;1;1;6;GRIMAULT (2 BD LEON);48,0914000; -1,6562500
15;202000000018;7;3;2020;01:40;5;35;35238;2;2;1;3;CHATEAUGIRON (DE);48,0952700; -1,6377600
16;202000000019;26;2;2020;13:45;1;31;31483;1;1;2;7;Route de la Serre de Cazaux;43,1195210;0,7267790
17;202000000020;7;3;2020;14:55;1;26;26281;2;2;1;3;40 Avenue du 8 Mai;45,0468000;5,0813300
18;202000000021;7;3;2020;15:15;1;22;22113;2;9;8;6;FORLAC'H (RUE DU);48,7325070; -3,4539630
19;202000000022;7;3;2020;18:20;1;17;17300;2;1;1;6;LUXEMBOURG   AVENUE DE;46,1692600; -1,1786400
20;202000000023;7;3;2020;21:10;5;13;13216;2;1;1;7;RUISSEAU MI (RUE);43,3481000;5,3447000
21;202000000024;7;3;2020;03:00;5;13;13201;2;1;1;2;BRETEUIL (RUE)    2 A 18;43,2926210;5,3748760
22;202000000026;7;3;2020;13:15;1;06;06027;2;1;1;1;VAL FLEURI CHEMIN DU;43,6650200;7,1709100
23;202000000027;6;3;2020;19:00;3;06;06123;2;1;1;1;CURIE PIERRE ET MARIE AVENUE;43,6896700;7,1857100
24;202000000030;5;3;2020;20:00;5;75;75116;2;3;2;3;RUE SCHEFFER;48,8602800;2,2846160
25;202000000031;4;3;2020;20:00;3;75;75117;2;3;2;3;BOULEVARD DE REIMS;48,8891650;2,2975300
26;202000000033;7;3;2020;10:10;1;75;75110;2;1;1;6;BOULEVARD DE MAGENTA;48,8827260;2,3502880
27;202000000034;7;3;2020;15:40;1;75;75107;2;5;1;7;QUAI BRANLY;48,8622650;2,3015450
28;202000000035;6;3;2020;21:00;5;75;75104;2;7;1;3;QUAI DE GESVRES;48,8571810;2,3473270
29;202000000036;7;3;2020;15:00;1;94;94044;2;1;1;3;PRESIDENT WILSON (AV DU);48,7514083;2,4909836
30;202000000037;7;3;2020;13:45;1;94;94033;2;2;1;2;MARECHAL DE LATTRE DE TASSIGNY (AV DU);48,8596000;2,4900000
31;202000000038;7;3;2020;20:00;5;94;94019;2;3;1;1;LIBERATION (RTE DE LA);48,8015510;2,5406760
32;202000000039;6;3;2020;23:00;5;94;94017;2;1;8;3;MUSSELBURGH (R DE);48,8102450;2,5181890
33;202000000040;7;3;2020;11:20;1;93;93072;2;1;1;1;PAUL VAILLANT COUTURIER (AVENUE) COTE 1A;48,9551100;2,3826900
34;202000000041;7;3;2020;19:45;5;93;93050;2;3;1;6;AV GENERAL DE GAULLE / R GAMBETTA;48,8574900;2,5325100
35;202000000042;7;3;2020;15:00;1;93;93046;2;1;1;3;AV DU MARECHAL LECLERC;48,9207400;2,5406000
36;202000000043;7;3;2020;06:15;2;93;93045;2;9;1;2;R DE PARIS;48,8784300;2,4115900
37;202000000044;7;3;2020;12:45;1;93;93027;2;1;1;6;SALENGRO (AVENUE ROGER);48,9356023;2,3873517
38;202000000046;7;3;2020;15:00;1;93;93005;2;1;1;3;CARR LOUIS ARMAND;48,9559990;2,4805460
39;202000000047;7;3;2020;02:40;5;92;92025;2;9;1;7;BOURNARD (RUE DU);48,9229320;2,2553440
40;202000000048;7;3;2020;23:56;5;54;54322;2;1;1;1;rue de metz;49,4404070;5,6117390
41;202000000049;7;3;2020;14:15;1;91;91666;2;1;1;1;Route d'Orsay;48,6854520;2,2197910
42;202000000050;8;3;2020;05:00;3;66;66141;1;1;1;2;D900;42,7516680;2,8952940
43;202000000051;6;3;2020;06:45;5;56;56117;2;1;2;6;Rue Ernest Renan;47,8899890; -2,8306960
44;202000000052;8;3;2020;13:50;1;65;65127;1;1;1;3;RD817;43,1129670;0,3214140
45;202000000053;7;3;2020;17:07;1;49;49218;1;1;1;6;Les Fretis (le Fuilet);47,2965077; -1,1239525
46;202000000054;7;3;2020;05:15;3;49;49069;2;1;1;6;Rue des Mauges (Liré);47,3402130; -1,1675200
47;202000000055;7;3;2020;14:50;1;68;68042;2;6;1;6;Rue du 19 Novembre;47,6077150;7,5031630
48;202000000056;7;3;2020;12:50;1;44;44015;1;1;2;6;La Foue;47,4897890; -1,6841270
49;202000000057;8;3;2020;06:30;2;31;31476;2;1;1;6;Chemin de l'Auberge;43,2728150;1,1344540
50;202000000058;8;3;2020;03:10;5;38;38174;1;1;1;6;Route de la Côte Saint André;45,3902810;5,3502350
51;202000000060;8;3;2020;15:30;1;84;84020;1;1;1;6;D943;43,8253860;5,3558240
52;202000000061;8;3;2020;03:30;3;03;03306;1;1;1;6;Rue de Cusset;46,1219515;3,4653947
53;202000000062;6;3;2020;08:55;1;72;72029;2;1;2;3;Avenue de la Division Leclerc;48,2260770;0,1282900
54;202000000063;8;3;2020;11:00;1;06;06079;2;1;1;4;Avenue du général de gaulle;43,5324820;6,9492720
55;202000000064;6;3;2020;18:15;1;60;60581;1;1;1;2;D916;49,4950021;2,4429560
56;202000000066;8;3;2020;03:30;5;60;60577;2;1;1;6;61 Douce Rue;49,4492870;1,7687900
57;202000000067;7;3;2020;12:30;1;64;64108;2;6;1;3;RD 430;43,5197970; -0,9154590
58;202000000068;8;3;2020;11:00;1;16;16125;1;1;1;6;Ld Les Grandes Granges;45,4828155;0,3402236
59;202000000069;7;3;2020;21:55;5;07;07055;2;2;1;1;Avenue de provence intersection Chemin du Bac;44,8629760;4,8350730
60;202000000070;4;3;2020;01:00;3;40;40217;1;9;8;6;Poms;44,3381610; -1,0042190
61;202000000071;7;3;2020;03:30;5;28;28386;2;1;8;6;22 Grande Rue;48,5708930;1,2501300
62;202000000072;7;3;2020;04:15;3;17;17465;1;1;2;6;Route de Moulinveau;45,9579190; -0,5421390
63;202000000073;7;3;2020;18:00;1;17;17385;1;1;1;5;Route Departementale No 274;45,9326020; -1,3147870
64;202000000074;7;3;2020;15:00;1;17;17396;2;3;1;3;D115;46,2250300; -0,8790780
65;202000000075;7;3;2020;15:50;1;37;37159;2;1;1;3;2 Rue Bernard Tortevoie;47,2777185;0,6221262
66;202000000076;6;3;2020;09:50;1;30;30075;2;1;1;-1;Chemin des Rôles;43,8208860;4,2607860
67;202000000077;8;3;2020;15:15;1;48;48063;1;3;1;6;D4;44,7096430;3,3819650
68;202000000078;25;2;2020;19:00;2;40;40210;1;1;6;6;A63;44,0930410; -0,9976960
69;202000000080;8;3;2020;06:45;2;62;62384;1;1;1;2;A2;50,1322553;3,1079444
70;202000000081;8;3;2020;11:10;1;988;98822;2;1;1;1;RT3; -20,9345770;165,3292610
71;202000000082;5;3;2020;17:10;1;971;97112;1;3;1;7;D203;15,8705970; -61,2842110
72;202000000084;7;3;2020;16:15;1;88;88321;2;1;1;3;Avenue de la Division Leclerc;48,3642900;5,6924410
73;202000000085;8;3;2020;03:30;3;88;88132;2;1;1;1;63 Rue d'Alsace;48,2011590;6,5283410
74;202000000086;8;3;2020;13:30;1;55;55427;2;1;6;6;Avenue du Xveme Corps;48,8234540;4,9845180
75;202000000087;8;3;2020;11:00;1;01;01043;2;1;1;6;Route de Genève;45,8335350;4,9937050
76;202000000088;8;3;2020;06:10;2;69;69197;2;1;1;6;Route du Treve;46,0628600;4,6513170
77;202000000089;8;3;2020;01:05;5;69;69272;2;1;1;1;Route de Limon;45,6017000;4,8349000
78;202000000090;8;3;2020;07:45;2;49;49264;1;1;2;6;;47,0923610; -1,0038650
79;202000000092;6;3;2020;08:40;1;13;13088;1;1;1;2;A55-Sens Martigues vers Marseille;43,3915000;5,2622000
80;202000000094;7;3;2020;12:15;1;91;91661;1;1;1;7;RD 188 CHEVREUSE;48,6961800;2,2240200
81;202000000095;7;3;2020;12:00;1;92;92019;1;1;1;3;AUTOROUTE A86;48,7606564;2,2869178
82;202000000096;7;3;2020;06:00;3;78;78238;1;1;1;5;A13;48,9706670;1,8788330
83;202000000097;6;3;2020;22:30;3;93;93027;1;1;1;6;BDL;48,9271400;2,4029800
84;202000000098;6;3;2020;18:10;2;92;92036;1;1;1;3;AUTOROUTE A15;48,9430300;2,2889193
85;202000000099;6;3;2020;17:10;1;92;92036;1;1;1;2;AUTOROUTE A86;48,9387500;2,3094600
86;202000000100;1;1;2020;03:50;5;972;97209;2;3;1;3;PROFESSEUR RAYMOND GARCIN (RUE DU);14,6201015; -61,0781050
87;202000000101;4;1;2020;14:15;1;92;92024;2;2;1;3;GENERAL LECLERC (BD DU) (9 A 59)   (4 A;48,9017000;2,3148000
88;202000000102;6;3;2020;00:00;5;988;98818;2;6;1;6;ROND POINT IMPERIAL; -22,2501200;166,4515500
89;202000000103;6;3;2020;23:10;5;988;98818;2;2;1;3;PROMENADE ROGER LAROQUE/ANSE-VATA; -22,3029200;166,4450800
90;202000000104;7;3;2020;01:35;3;976;97611;1;1;1;1;passamanty-Vahibé ( route ); -12,7927300;45,1885100
91;202000000105;6;3;2020;19:40;4;974;97411;2;3;2;6;CARAMBOLES (DES); -20,8931300;55,4760100
92;202000000106;5;3;2020;09:00;1;974;97411;2;1;1;1;MACE (ROUTE GABRIEL); -20,9155364;55,4944217
93;202000000107;5;3;2020;10:45;1;974;97409;2;1;1;3;DE LA GARE(RUE); -20,9606900;55,6543000
94;202000000108;7;3;2020;00:35;5;69;69388;2;1;1;6;GENERAL FRERE (DU)                  (AV);45,7306000;4,8779000
95;202000000109;6;3;2020;18:05;2;972;97209;2;3;1;1;PATRICE LUMUMBA (RUE);14,6136800; -61,0701800
96;202000000110;26;2;2020;01:55;5;69;69381;2;2;1;3;JEAN MOULIN                         (QU);45,7662000;4,8380000
97;202000000111;6;3;2020;06:10;5;69;69149;2;1;1;3;GRANDE RUE                          (GR);45,7198700;4,8106100
98;202000000112;5;3;2020;12:15;1;69;69389;2;9;2;5;MARIETTON                           (R );45,7756500;4,8026000
99;202000000113;12;2;2020;18:35;5;69;69081;2;1;1;7;BON PASTEUR (DU)                  AV;45,7874200;4,7788500
100;202000000114;5;3;2020;16:50;1;971;97101;1;3;1;3;DUGAZON DE BOURGOGNE (ZONE);16,2591910; -61,5102600
101;202000000115;6;3;2020;21:55;5;91;91570;2;7;1;3;SAINT SAENS (RUE);48,6311960;2,3288340
102;202000000116;6;3;2020;11:35;1;91;91549;2;1;1;7;JEAN MERMOZ (RUE);48,6393490;2,3362480
103;202000000117;5;3;2020;10:45;1;91;91692;2;1;2;6;DORDOGNE (AVENUE DE);48,6767180;2,1649400
104;202000000118;5;3;2020;18:45;2;91;91377;2;2;2;3;AULNAY DRACOURT (IMPASSE DE L');48,7205000;2,2779900
105;202000000119;6;3;2020;17:20;1;91;91687;2;2;1;3;SABLONS (AVENUE DES);48,6665500;2,3642200
106;202000000120;6;3;2020;08:45;1;91;91174;2;9;8;3;JEAN JAURES (BOULEVARD);48,6134950;2,4593190
107;202000000121;6;3;2020;05:55;5;91;91174;2;6;1;3;JEAN JAURES (BOULEVARD);48,6117400;2,4611900
108;202000000122;5;3;2020;20:15;5;89;89387;2;2;3;3;GARIBALDI (BOULEVARD DES);48,1999800;3,2823200
109;202000000123;5;3;2020;16:35;1;87;87065;1;3;2;3;PONTEIX (AVENUE DU);45,8081600;1,2991000
110;202000000124;5;3;2020;17:48;1;84;84007;2;1;1;3;PIERRE SEMARD (avenue);43,9414000;4,8178400
111;202000000125;4;3;2020;14:15;1;84;84007;1;1;1;1;RD225  (route touristique);43,9580700;4,8276400
112;202000000126;3;3;2020;18:10;2;84;84007;2;1;1;3;RUE HOSEPH DE MONTGOLFIER;43,9301800;4,8285400
113;202000000127;23;2;2020;17:45;1;30;30351;2;1;1;6;GENERAL LECLERC AVENUE DU;43,9544400;4,7882700
114;202000000128;6;3;2020;13:15;1;83;83137;2;2;1;1;MOULINS (AVE DES DE 328 A FIN;43,1401600;5,9130900
115;202000000129;6;3;2020;07:45;1;83;83069;2;1;1;6;GRES ROSES (ALLEE DES);43,1241000;6,1508000
116;202000000130;5;3;2020;15:23;1;78;78646;2;2;1;6;PORTE DE BUC (RUE DE LA);48,7955300;2,1388400
117;202000000131;5;3;2020;13:00;1;77;77118;1;9;2;3;D34E;48,9433300;2,6666300
118;202000000132;6;3;2020;19:50;5;77;77284;2;1;1;6;GALLIENI (AVENUE) - D603;48,9592500;2,8732400
119;202000000133;6;3;2020;19:00;5;74;74218;2;4;1;2;PAYS DE GAVOT (ROUTE DU)  RD11;46,3846240;6,5549495
120;202000000134;5;3;2020;13:00;1;69;69290;2;2;2;3;DES PARCS(allée);45,7090400;4,9386600
121;202000000135;6;3;2020;12:53;1;69;69264;2;3;1;3;ANSE D'  (rue);45,9850000;4,7180300
122;202000000136;5;3;2020;10:00;1;67;67482;2;1;3;2;CANONNIERS (RUE DES);48,5540774;7,7626633
123;202000000137;5;3;2020;17:15;1;66;66136;2;1;1;6;Napoleon Joseph Sarda-Garriga ( rue de );42,6910000;2,8810500
124;202000000139;6;3;2020;08:10;1;64;64260;2;9;3;3;Rue de l’Autoport;43,3460100; -1,7740600
125;202000000141;5;3;2020;17:00;1;63;63113;2;4;2;2;ESTAING (RUE D');45,7841300;3,1091900
126;202000000142;2;3;2020;17:40;1;60;60175;2;1;2;6;VERLAINE (RUE PAUL);49,2491200;2,4715700
127;202000000143;6;3;2020;04:00;2;58;58194;2;1;2;-1;BARATTE (FAUBOURG);46,9868900;3,1959800
128;202000000144;5;3;2020;19:00;2;56;56260;2;3;2;3;MARNE (AVENUE DE LA);47,6592300; -2,7748300
129;202000000145;5;3;2020;17:00;1;56;56121;2;1;1;2;Pénétrante de Lorient RD 465;47,7637200; -3,3803600
130;202000000147;6;3;2020;07:50;1;54;54547;2;1;1;6;HUITIEME REGIMENT D'ARTILLERIE;48,6693780;6,1845661
131;202000000148;5;3;2020;12:35;1;54;54547;2;1;2;6;EUROPE (BOULEVARD DE L');48,6627327;6,1727052
132;202000000149;6;3;2020;08:00;1;51;51454;2;1;2;2;Avenue de Champagne;49,2342409;4,0403540
133;202000000150;22;9;2020;10:40;1;74;74081;1;3;1;3;Route de Chamonix;46,0505690;6,5920970
134;202000000151;22;9;2020;14:00;1;976;97607;1;1;1;5;rn2 hajangua; -12,8505010;45,1751580
135;202000000152;21;9;2020;19:00;5;971;97128;2;1;1;6;Douville;16,2527980; -61,3722650
136;202000000153;21;9;2020;19:55;3;971;97134;1;1;1;6;Le bouchu;16,0704136; -61,7633557
137;202000000154;21;9;2020;11:10;1;91;91494;1;9;1;7;D19b8;48,6117250;2,3389450
138;202000000155;21;9;2020;17:00;1;2A;2A163;1;1;1;1;RT40;41,4963320;8,9626980
139;202000000158;20;9;2020;19:15;1;83;83055;1;1;2;5;Route de Seillans;43,6244290;6,6931040
140;202000000159;19;9;2020;11:30;1;06;06157;1;1;1;1;Route des Termes;43,7591530;7,0763940
141;202000000160;17;9;2020;12:00;1;71;71556;1;1;1;3;Route des Combes;46,2787191;4,8025788
142;202000000161;21;9;2020;07:30;1;67;67080;1;3;1;2;RD 30;48,5559433;7,5273016
143;202000000162;8;9;2020;19:45;1;57;57443;1;1;1;7;55 Rue du Haut de la Marche;49,2163770;6,1144030
144;202000000163;22;9;2020;09:20;1;74;74037;2;4;1;6;Rue de la Ménoge;46,2085900;6,4049540
145;202000000165;20;9;2020;17:00;1;38;38488;1;1;3;6;Route de Crémieu;45,7335980;5,2970890
146;202000000166;21;9;2020;14:45;1;35;35037;1;1;1;6;N24;48,0593230; -1,8831490
147;202000000167;19;9;2020;19:00;1;62;62460;1;2;1;3;CD940;50,5835430;1,7400080
148;202000000168;21;9;2020;13:25;1;57;57226;1;1;1;6;Autoroute A30;49,3745000;5,9813000
149;202000000169;20;9;2020;19:35;1;57;57343;1;1;1;4;Autoroute A31;49,3291600;6,1854300
150;202000000170;21;9;2020;18:35;1;33;33281;1;1;2;6;ROCADE A 630;44,8170600; -0,6729300
151;202000000171;21;9;2020;09:15;1;33;33143;1;1;1;5;AUTOROUTE A 10;44,9696500; -0,4360240
152;202000000172;20;9;2020;02:10;4;59;59202;1;1;1;6;AUTOROUTE A25;50,6765720;2,8594380
153;202000000173;21;9;2020;19:10;1;91;91377;1;1;1;2;AUTOROUTE A10;48,7251600;2,3000500
154;202000000174;21;9;2020;14:14;1;94;94034;1;1;1;4;AUTOROUTE A86;48,7592400;2,3253800
155;202000000175;21;9;2020;10:30;1;91;91589;1;1;1;4;AUTOROUTE A6;48,6785900;2,3357200
156;202000000176;21;9;2020;08:30;1;91;91468;1;1;1;2;AUTOROUTE A6;48,5755500;2,4655900
157;202000000177;20;9;2020;07:50;1;78;78117;1;1;1;6;RN12;48,7874390;2,1475370
158;202000000178;21;9;2020;09:20;1;94;94074;1;1;1;2;RN406.W;48,7654325;2,4586862
159;202000000179;21;9;2020;08:40;1;94;94028;1;1;1;-1;A86 INT;48,7762722;2,4310036
160;202000000180;18;9;2020;20:15;5;988;98818;2;3;1;5;RUE JULES GARNIER/RUE DU DOCTEUR MIALARET; -22,2878800;166,4445500
161;202000000181;20;9;2020;16:00;1;69;69388;2;1;1;2;ETATS UNIS (DES)                    (BD);45,7341100;4,8637700
162;202000000182;20;9;2020;10:30;1;69;69388;2;9;1;6;COMMANDANT PEGOUT (DU)              (R );45,7308000;4,8677000
163;202000000183;20;9;2020;00:00;5;69;69286;2;7;1;3;GEORGES CROMBEZ                     (PL);45,8072100;4,9023600
164;202000000184;20;9;2020;02:52;5;95;95607;2;1;8;3;DIVISION LECLERC (AVENUE DE LA);49,0164000;2,2187000
165;202000000185;20;9;2020;03:50;5;91;91687;2;1;8;7;GRIBELETTE (AVENUE DE LA);48,6476900;2,3657500
166;202000000186;19;9;2020;22:30;5;74;74133;2;9;1;3;TRANSVAL (RUE DE);46,1792000;6,1995000
167;202000000187;20;9;2020;08:56;1;69;69266;2;3;2;3;STALINGRAD    (Boulevard de la Bataille ;45,7795856;4,8595696
168;202000000190;20;9;2020;04:26;3;44;44109;1;1;1;3;PERIPHERIQUE ROUTIER;47,2678600; -1,5772800
169;202000000191;20;9;2020;17:15;1;37;37214;2;1;7;2;PORTILLON (QUAI);47,3998634;0,6760598
170;202000000192;20;9;2020;14:50;1;35;35281;2;1;1;2;DODIN (AVENUE ROGER);48,0894350; -1,7061850
171;202000000193;20;9;2020;03:00;5;33;33063;2;2;1;3;CRS DU MEDOC / CRS BALGUERIE STUTTENBERG;44,8583148; -0,5668694
172;202000000194;20;9;2020;15:15;1;29;29232;1;1;1;2;D783 - Boulevard President Allende;47,9970700; -4,0727900
173;202000000196;28;8;2020;23:00;5;13;13208;2;9;1;2;PRADO (AVENUE DU);43,2675400;5,3835000
174;202000000197;20;9;2020;09:45;1;13;13002;2;1;8;1;QUATRE SAISONS (ROUTE DES);43,3239140;5,4921450
175;202000000198;20;9;2020;05:30;3;13;13047;1;1;8;6;D.5;43,5530700;4,9682200
176;202000000199;19;9;2020;16:50;1;13;13063;2;1;2;3;RENE CASSIN ROND POINT;43,5996158;5,0064558
177;202000000200;19;9;2020;10:40;1;13;13028;2;1;1;6;QUINET (RUE EDGARD);43,1752240;5,6097650
178;202000000201;17;9;2020;17:15;1;12;12145;2;3;1;3;GABRIAC JEAN (BOULEVARD);44,0922500;3,0707700
179;202000000202;20;9;2020;11:30;1;06;06027;2;1;3;6;COLLE CHEMIN DE LA;43,6708490;7,1210560
180;202000000204;18;9;2020;22:35;5;75;75118;2;1;1;7;PORTE DE LA CHAPELLE;48,9008870;2,3629740
181;202000000205;18;9;2020;21:00;5;75;75119;2;1;1;4;PORTE DE PANTIN;48,8963280;2,3945690
182;202000000207;20;9;2020;21:49;5;75;75118;2;2;1;3;RUE MYRHA;48,8865500;2,3495530
183;202000000208;20;9;2020;11:30;1;75;75118;2;3;1;-1;RUE DE LA CHAPELLE;48,8910090;2,3598700
184;202000000209;20;9;2020;01:50;5;75;75118;2;2;1;6;RUE MARX DORMOY;48,8902230;2,3599180
185;202000000210;20;9;2020;02:00;3;75;75116;2;2;1;-1;AVENUE DE MALAKOFF;48,8731520;2,2844620
186;202000000211;20;9;2020;06:45;5;75;75115;2;3;1;6;QUAI BRANLY;48,8574700;2,2910660
187;202000000213;20;9;2020;01:30;5;75;75113;2;2;1;3;RUE DES PEUPLIERS;48,8221500;2,3526890
188;202000000214;20;9;2020;18:50;1;75;75112;2;7;1;-1;ROUTE DE LA PYRAMIDE;48,8338330;2,4448970
189;202000000215;20;9;2020;02:00;5;75;75107;2;7;1;6;PLACE DE LA RESISTANCE;48,8624240;2,3015640
190;202000000216;20;9;2020;15:00;1;75;75104;2;3;1;6;RUE DE RIVOLI;48,8554880;2,3600990
191;202000000217;20;9;2020;22:20;5;94;94081;2;3;1;3;ABBE ROGER DERRY (AV DE L);48,7896788;2,3899035
192;202000000218;20;9;2020;18:15;1;94;94034;2;1;1;3;PASTEUR (BD);48,7568840;2,3153510
193;202000000219;20;9;2020;00:15;5;94;94022;2;1;1;6;BEL AIR (R);48,7630700;2,4204200
194;202000000220;20;9;2020;18:20;1;94;94071;2;6;1;1;Avenue Gabriel Péri & Route de la Queue-En-Brie;48,7615579;2,5334328
195;202000000221;20;9;2020;13:40;1;94;94075;2;3;1;3;MARECHAL DE LATTRE DE TASSIGNY (AV);48,7274700;2,5310600
196;202000000222;20;9;2020;20:30;5;93;93072;2;1;1;6;MAXIME GORKI (BOULEVARD) DES N°1 AU 87;48,9519253;2,3849984
197;202000000223;20;9;2020;15:30;1;93;93014;2;3;1;5;SEVIGNE (AVENUE DE);48,9125726;2,5410795
198;202000000224;20;9;2020;20:40;5;93;93005;2;2;1;3;FRANCISCO FERRER (RUE);48,9432166;2,4999091
199;202000000225;20;9;2020;17:00;1;92;92040;2;6;1;3;STALINGRAD (QUAI DE);48,8201781;2,2429183
200;202000000226;20;9;2020;02:22;5;92;92025;2;2;1;3;CHARLES DE GAULLE (BD);48,9133000;2,2306410
201;202000000227;20;9;2020;06:35;2;92;92060;2;1;8;7;CHARLES DE GAULLE (AVENUE) RD75 A PARTIR;48,7766500;2,2570300
202;202000000228;19;9;2020;20:45;5;92;92007;2;2;2;-1;BRIAND (AVENUE ARISTIDE) N° 100 A 160;48,7962203;2,3217228
203;202000000230;21;9;2020;08:35;1;31;31547;2;1;1;3;Route de Toulouse;43,4989860;1,3169490
204;202000000231;21;9;2020;05:10;3;86;86170;1;1;1;1;N147;46,3102959;0,8295871
205;202000000232;20;9;2020;06:00;3;44;44103;1;1;1;2;RN 171   PK 84;47,3241850; -2,1554340
206;202000000233;20;9;2020;20:10;3;57;57529;1;1;1;1;D15;49,4404290;6,0305610
207;202000000234;20;9;2020;20:15;5;57;57390;2;3;1;2;88 Grand Rue;49,0055080;7,3786450
208;202000000235;21;9;2020;05:26;3;57;57043;1;3;1;3;D1;49,2555410;6,2009080
209;202000000236;20;9;2020;18:00;1;95;95352;1;1;1;3;D922;49,1041770;2,3941290
210;202000000237;19;9;2020;15:00;1;62;62773;2;3;1;-1;Rue de Neufchatel;50,6388160;1,7431366
211;202000000238;20;9;2020;11:40;1;19;19068;1;1;8;7;D48;45,1781040;1,6578200
212;202000000239;16;8;2020;00:30;3;56;56177;1;1;3;6;Keryagune St Goal;47,7702000; -3,0674100
213;202000000240;20;9;2020;15:00;1;56;56123;1;2;1;3;La Provotaie;47,6804650; -2,3463750
214;202000000241;21;9;2020;07:10;2;76;76441;1;1;5;1;D49;49,9688130;1,5695210
215;202000000242;20;9;2020;13:00;1;65;65362;2;1;1;7;1 Route de Cauterêts;42,9583500; -0,0776660
216;202000000243;21;9;2020;13:45;1;33;33236;2;1;2;3;98 Avenue du Truc Vert;44,7248500; -1,2193100
217;202000000244;16;9;2020;17:00;1;89;89368;2;1;1;6;4 Route de Saint-amand;47,6145820;3,1982660
218;202000000245;20;9;2020;21:45;3;63;63022;2;1;1;6;Route de Basse-combelle;45,4439640;3,3024640
219;202000000246;21;9;2020;15:00;1;63;63218;1;9;2;3;D38;45,3920800;3,6857300
220;202000000248;20;9;2020;15:42;1;61;61028;1;1;1;6;D909;48,8340740; -0,2360770
221;202000000249;11;9;2020;21:10;3;49;49341;1;1;1;6;Route départementale 145;47,2186060; -0,0257060
222;202000000250;21;9;2020;09:15;1;42;42026;1;1;2;6;Route de Melay;46,1740230;4,0767970
223;202000000251;18;9;2020;17:10;1;86;86032;2;1;1;6;28 Rue de Saintonge;46,6793120;0,5638690
224;202000000252;20;9;2020;09:15;1;34;34080;1;1;9;6;D908;43,5798950;3,0233440
225;202000000253;20;9;2020;19:58;2;44;44156;2;1;2;6;18 Rue Gilles de Retz;46,9546000; -1,6054040
226;202000000254;20;9;2020;12:30;1;44;44096;1;1;1;6;Tacon;47,4171486; -1,2480014
227;202000000255;20;9;2020;09:10;1;29;29146;2;3;1;1;Rue de la Boissiere;47,9062785; -3,8388665
228;202000000256;20;9;2020;15:20;1;29;29190;1;1;1;1;Pointe Saint-Mathieu;48,3340405; -4,7713232
229;202000000257;11;9;2020;05:20;3;13;13027;1;1;5;1;446 Route de Tarascon;43,8796370;4,8412640
230;202000000258;20;9;2020;19:30;2;02;02757;1;1;1;6;D960;49,9264720;3,5504560
231;202000000259;21;9;2020;07:00;2;03;03123;1;1;1;6;;46,4416036;2,6518389
232;202000000260;21;9;2020;03:40;3;54;54162;1;1;1;6;N4;48,6561033;5,8416152
233;202000000261;21;9;2020;19:50;2;60;60086;1;6;1;3;D603;49,1760930;2,3527690
234;202000000262;20;9;2020;09:10;1;43;43124;1;2;2;3;Allée des Peupliers;45,0893570;3,7528560
235;202000000263;21;9;2020;07:30;1;53;53007;1;3;5;7;Argentré;48,0723260; -0,6521680
236;202000000264;21;9;2020;07:45;1;21;21534;1;1;7;2;Route de Chorey;47,0408670;4,9109060
237;202000000265;17;9;2020;16:30;1;40;40245;2;1;1;6;Rue Pénecadet;44,0321680; -0,3243670
238;202000000266;20;9;2020;10:45;1;27;27467;2;6;1;1;Rue Stanislas Delaquaize;49,3526340;0,5137560
239;202000000267;20;9;2020;19:00;1;52;52421;1;1;1;7;19 Rue de la Vieille Côte;48,1807530;5,1515470
